Master Record Number,Year,Month,Day,Hour,Weekend,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude
902363382,2023,1,5,1400,Weekday,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,1ST & FESS,39.15920668,-86.52587356
902364268,2023,1,6,1500,Weekday,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,2ND & COLLEGE,39.16144,-86.534848
902364412,2023,1,6,2300,Weekend,2-Car,Non-incapacitating,DISREGARD SIGNAL/REG SIGN,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006
902364551,2023,1,7,900,Weekend,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,GATES & JACOBS,39.165655,-86.57595635
902364615,2023,1,7,1100,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,W 3RD,39.164848,-86.57962482
902364664,2023,1,6,1800,Weekday,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BURKS & WALNUT,39.12666969,-86.53136998
902364682,2023,1,6,1200,Weekday,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SOUTH CURRY PIKE LOT 71,39.150825,-86.584899
902364683,2023,1,6,1400,Weekday,1-Car,Incapacitating,ENGINE FAILURE OR DEFECTIVE,NORTH LOUDEN RD,39.19927216,-86.63702393
902364714,2023,1,7,1400,Weekend,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,LIBERTY & W 3RD,39.16461021,-86.57913007
902364756,2023,1,7,1600,Weekend,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,PATTERSON & W 3RD,39.16344009,-86.55128002
902364761,2023,1,7,1500,Weekend,2-Car,No injury/unknown,UNSAFE BACKING,S LIBERTY,39.145264,-86.577616
902364764,2023,1,7,1600,Weekend,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E WINSLOW & S HIGHLAND,39.136048,-86.518496
902364822,2023,1,7,1700,Weekend,1-Car,No injury/unknown,UNSAFE BACKING,E KIRKWOOD,39.16664,-86.53070106
902365038,2023,1,7,1800,Weekend,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,HEATHERWOOD & LEONARD SPRINGS,39.12678972,-86.58258006
902365063,2023,1,1,1300,Weekend,3+ Cars,Incapacitating,DISREGARD SIGNAL/REG SIGN,ROGERS & W PATTERSON,39.15379018,-86.53875008
902365100,2023,1,1,1500,Weekend,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SOUTH WALNUT & SOUTH WALNUT STREET,39.107344,-86.5264
902365193,2023,1,1,1800,Weekend,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,17TH & MONROE,39.179248,-86.547104
