Year,Junction,Vehicles
2023-02-01,1,289
2023-02-01,2,989
2023-02-01,3,382
2023-02-01,4,367
2023-02-02,1,454
2023-02-02,2,708
2023-02-02,3,315
2023-02-02,4,823
2023-02-03,1,160
2023-02-03,2,851
2023-02-03,3,619
2023-02-03,4,744
2023-02-04,1,716
2023-02-04,2,476
2023-02-04,3,348
2023-02-04,4,966
2023-02-05,1,897
2023-02-05,2,628
2023-02-05,3,139
2023-02-05,4,936
2023-02-06,1,915
2023-02-06,2,643
2023-02-06,3,641
2023-02-06,4,866
2023-02-07,1,466
2023-02-07,2,551
2023-02-07,3,427
2023-02-07,4,733
2023-02-08,1,952
2023-02-08,2,168
2023-02-08,3,949
2023-02-08,4,150
2023-02-09,1,484
2023-02-09,2,243
2023-02-09,3,374
2023-02-09,4,269
2023-02-10,1,260
2023-02-10,2,885
2023-02-10,3,328
2023-02-10,4,151
2023-02-11,1,306
2023-02-11,2,511
2023-02-11,3,911
2023-02-11,4,992
2023-02-12,1,771
2023-02-12,2,112
2023-02-12,3,672
2023-02-12,4,907
2023-02-13,1,663
2023-02-13,2,997
2023-02-13,3,511
2023-02-13,4,306
2023-02-14,1,263
2023-02-14,2,690
2023-02-14,3,880
2023-02-14,4,375
2023-02-15,1,765
2023-02-15,2,914
2023-02-15,3,420
2023-02-15,4,690
2023-02-16,1,454
2023-02-16,2,579
2023-02-16,3,753
2023-02-16,4,608
2023-02-17,1,504
2023-02-17,2,490
2023-02-17,3,962
2023-02-17,4,521
2023-02-18,1,923
2023-02-18,2,429
2023-02-18,3,367
2023-02-18,4,597
2023-02-19,1,933
2023-02-19,2,261
2023-02-19,3,699
2023-02-19,4,661
2023-02-20,1,628
2023-02-20,2,353
2023-02-20,3,212
2023-02-20,4,927
2023-02-21,1,497
2023-02-21,2,905
2023-02-21,3,901
2023-02-21,4,649
2023-02-22,1,787
2023-02-22,2,655
2023-02-22,3,928
2023-02-22,4,353
2023-02-23,1,212
2023-02-23,2,927
2023-02-23,3,497
2023-02-23,4,905
2023-02-24,1,920
2023-02-24,2,649
2023-02-24,3,787
2023-02-24,4,359
2023-02-25,1,453
2023-02-25,2,169
2023-02-25,3,420
2023-02-25,4,240
2023-02-26,1,968
2023-02-26,2,499
2023-02-26,3,634
2023-02-26,4,295
2023-02-27,1,886
2023-02-27,2,310
2023-02-27,3,998
2023-02-27,4,100
2023-02-28,1,789
2023-02-28,2,456
2023-02-28,3,123
2023-02-28,4,325
